nombre,Danza,Cine,Musica,Teatro,Taller,Concierto,Foro,Evento,Festival,Concurso
Viernes de bohemia ,0,0,10,0,0,10,0,10,0,0
Ciclo de cine Marilyn Monroe ,0,10,0,0,0,0,10,0,0,0
Estreno de Largometraje ,0,10,0,0,0,0,0,10,0,0
Simposio sobre el largometraje MarÌa,0,10,0,0,0,0,10,0,0,0
Concierto Cristales,0,0,10,0,0,10,0,10,0,0
D'Regreso a Mi Tierra,8,0,10,7,0,0,0,10,0,0
XVII FESTIVAL INTERNACIONAL DE TITERES,0,0,0,10,0,0,0,0,10,0
American Film Showcase,0,10,0,0,0,0,0,0,10,0
Semana del libro - celebracion dia del libro y la niñez,5,8,5,5,0,0,0,0,10,10
Audiciones METROPOLIS,0,0,10,0,0,0,0,10,0,0
Concierto navideño,0,0,10,0,0,10,0,0,0,0
61 Feria de Cali,10,0,10,0,0,0,0,0,10,0
4 decadas de EUFORIA con Ensalsate,10,0,10,0,0,0,0,10,0,0
Espectaculo Delirio,10,0,10,0,0,0,0,10,0,0
Fiesta Andina,10,0,10,0,0,0,0,10,0,0
Talleres de danzas indÌgenas,10,0,7,0,10,0,0,0,0,0
Caliwood- Actividades diarias ,0,10,0,6,10,0,10,0,0,0
Espectaculo Delirio,10,0,8,0,0,0,0,10,0,0
Convocatoria METROPOLIS,0,0,10,0,0,0,0,0,0,10
4 décadas de EUFORIA con Ensálsate,10,0,8,0,0,0,0,10,0,0
Día de la Afrocolombianidad y día mundial de la diversidad cultural,8,0,9,0,0,0,0,10,0,0
Festival de la Herencia Africano,0,0,10,0,0,0,0,0,10,0
Homenaje a las Madres en Teatro Al Aire Libre Los Cristales,0,0,10,8,0,10,0,0,0,0
CEREMONIA DE PROMOCION ROCKOPOLIS,0,0,10,0,0,0,0,0,10,0
XXIV ENCUENTRO DE DANZAS FOLCLÓRICAS MERCEDES,10,0,8,0,0,0,0,10,0,0
IX Encuentro Popular de Teatro Joven,0,0,10,8,0,0,0,10,0,0
XI Festival internacional de Ballet,10,0,6,0,0,0,0,0,10,0
